producto_url,nombre,precio_lista_habitual,precio_oferta_final,precio_sin_impuestos,memoria_ram,camara_frontal,fecha_scrapeo,Tipo de pantalla,Tamaño de la pantalla,Resistente al agua,Velocidad de la CPU,Tipo de procesador,Batería,Cámara trasera,Dual SIM,Memoria externa incluida,Carga rápida,Lector de huella,Conexión Bluetooth,NFC,GPS integrado,Información adicional,Tecnología AI
https://www.cetrogar.com.ar/celular-c75-gold-4-256gb-lighting-gold.html,Celular C75 Gold 4/256GB Lighting gold,$17.999,$449.999,$371.899,4GB,5MP,2025-06-25,FHD,"6.7""",Sí,1.8 GHz,Octa Core,6000Mhz,50MP,Sí,No,Sí,Sí,Sí,Sí,Sí,"Funda, cargador y cable USB",
https://www.cetrogar.com.ar/celular-c75-black-4-256gb-storm-black.html,Celular C75 Black 4/256GB Storm black,$6.859,$449.999,$371.899,4GB,5MP,2025-06-25,FHD,"6.7""",Sí,1.8 GHz,Octa Core,6000Mhz,50MP,Sí,No,Sí,Sí,Sí,Sí,Sí,"Funda, cargador y cable USB",
https://www.cetrogar.com.ar/celular-motorola-g85-6-6-8-256gb-5g-gris.html,"Celular Motorola G85 6.6"" 8GB 256GB 5G gris",$699.999,$489.999,$404.957,8GB,32 MP (80.53°) F2.5,2025-06-25,POLED,"6.6""",No,2.3 GHz,Octa Core,5000mAH,Principal: 50 MP (81.4°) F1.79 Gran angular y Macro: 8 MP (118.6°) F2.2,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-infinix-note-40-5g-8-256-titan-gold.html,"Celular Infinix Note 40 6.78"" 5G 8GB 256GB Titan GOLD",$679.999,$499.999,$413.222,8GB,32MP,2025-06-25,FLEXIBLE AMOLED,"6.78""",No,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),MTK 7020,5000Mhz,108MP,Sí,No,No,Sí,Sí,No,Sí,Parlantes JBL,
https://www.cetrogar.com.ar/celular-infinix-note-40-5g-8-256gb-obsidian-black.html,"Celular Infinix Note 40 6.78"" 5G 8GB 256GB Obsidian black",$679.999,$499.999,$413.222,8GB,32MP,2025-06-25,FLEXIBLE AMOLED,"6.78""",No,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),MTK 7020,5000Mhz,108MP,Sí,No,No,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-infinix-hot-40-pro-6-78-8-256gb-palm-blue.html,"Celular Infinix Hot 40 Pro 6.78"" 8GB 256GB Palm blue",$328.499,$499.999,$413.222,8GB,32MP,2025-06-25,LCD,"6.78""",No,2.2GHz,Octa Core,5000Mhz,108MP+2MP(Macro)+2MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-infinix-hot-40-pro-6-78-8-256gb-starlit-black.html,"Celular Infinix Hot 40 Pro 6.78"" 8GB 256GB Starlit black",$26.999,$499.999,$413.222,8GB,32MP,2025-06-25,LCD,"6.78""",No,2.2GHz,Octa Core,5000Mhz,108MP+2MP(Macro)+2MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-tcl-50-pro-nxtpaper-6-8-5g-8-8-512gb-white.html,"Celular TCL PRO NXTPAPER 50 6.8"" 5G 8+8GB 8+8GB 512GB withe",$549.999,$499.999,$413.222,8GB,32MP,2025-06-25,IPS,"6.8""",Sí,2x A76 2.2GHz +6x A55 2.0GHz,Octa Core,5010mAh,108+8+2 MP,No,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-tcl-50-pro-nxtpaper-6-8-5g-8-8-512gb-space-gray-rv.html,"Celular TCL 50 PRO NXTPAPER 6.8"" 5G 8+8GB 512GB space gray RV",$549.999,$499.999,$413.222,8GB,32MP,2025-06-25,IPS,"6.8""",Sí,2x A76 2.2GHz +6x A55 2.0GHz,Octa Core,5010mAh,108+8+2 MP,No,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-pova-tecno-mobile-6-78-12-256gb-comet-green.html,"Celular Tecno Mobile Pova 6 6.78"" 12GB 256GB comet green",$699.999,$509.999,$421.486,12GB,32MP,2025-06-25,OLED,"6.78""",No,2.2 GHz,Octa Core,6000mAH,108MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
